task,date,completed,month
execrise,2026-04-01,False,2026-04
execrise,2026-04-02,False,2026-04
execrise,2026-04-03,False,2026-04
execrise,2026-04-04,False,2026-04
execrise,2026-04-05,False,2026-04
execrise,2026-04-06,False,2026-04
execrise,2026-04-07,False,2026-04
execrise,2026-04-08,False,2026-04
execrise,2026-04-09,False,2026-04
execrise,2026-04-10,False,2026-04
execrise,2026-04-11,False,2026-04
execrise,2026-04-12,False,2026-04
execrise,2026-04-13,False,2026-04
execrise,2026-04-14,False,2026-04
execrise,2026-04-15,False,2026-04
execrise,2026-04-16,False,2026-04
execrise,2026-04-17,False,2026-04
execrise,2026-04-18,False,2026-04
execrise,2026-04-19,False,2026-04
execrise,2026-04-20,False,2026-04
execrise,2026-04-21,False,2026-04
execrise,2026-04-22,False,2026-04
execrise,2026-04-23,False,2026-04
execrise,2026-04-24,False,2026-04
execrise,2026-04-25,False,2026-04
execrise,2026-04-26,False,2026-04
execrise,2026-04-27,False,2026-04
execrise,2026-04-28,False,2026-04
execrise,2026-04-29,False,2026-04
execrise,2026-04-30,False,2026-04
